path,title,author,page_number,novel_pages,context
http://www.davincimap.co.kr/davBase/Source/davSource.jsp?Job=Body&SourID=SOUR001304,구운몽(九雲夢),김만중,735,2.0,구운몽 하
http://www.davincimap.co.kr/davBase/Source/davSource.jsp?Job=Body&SourID=SOUR001304,구운몽(九雲夢),김만중,736,2.0,"천자가 환자(宦者)를 보내어 상서를 부르자, 환자가 정사도의 집에 가 물으니 상서가 오지 않았다. 환자가 급히 찾으니 상서가 바야흐로 정십삼을 데리고 장안 술집에 가 술에 흠뻑 취하였다. 환자가 급히 명패(名牌)로 부르니 상서가 취중에 정신을 차리지 못하여 창기(娼妓)에게 붙들려 조복(朝服)을 입고 겨우 들어가 입조(入朝)하자, 황제가 크게 기뻐하여 자리를 주시고 이어 백대 제와의 치란흥망(治亂興亡)과 만고의 문장명필을 의논할 때, 상서가 고금의 제왕을 역력히 의논하고 문장을 차례로 헤아리니, 황제가 크게 기뻐하여 말하였다."
http://www.davincimap.co.kr/davBase/Source/davSource.jsp?Job=Body&SourID=SOUR001304,구운몽(九雲夢),김만중,737,2.0,"「내 이태백을 보지 못하여 한이었는데 경을 얻었으니 어찌 이태백을 부러워하겠는가? 짐이 글하는 궁녀 여남은 명을 가려 여중서(女中書)를 봉하였으니, 경이 그 궁녀들에게 각각 글을 지어주면 그 재주를 보고자 한다.」"
http://www.davincimap.co.kr/davBase/Source/davSource.jsp?Job=Body&SourID=SOUR001304,구운몽(九雲夢),김만중,738,2.0,"하고, 즉시 궁녀를 명하여 백옥으로 된 책상과 유리 벼루와 금으로 만든 두꺼비 모양의 연적을 앞에 놓게 하였다. 모든 궁녀들이 차례로 늘어서 혹 좋은 화선지와 비단 수건이며 그림 그린 부채를 들고 다투어 글을 빌자, 상서가 취흥이 일어나 좋은 붓을 한번 휘두르니 구름과 바람이 일어나며 용과 뱀이 뒤트는 것 같았다. 순식간에 궁녀에게 다 지어 주니 궁녀들이 그 글을 가지고 차례로 황제께 드리자, 황제가 다 보시고 극히 아름답게 여겨 궁녀를 명하여 어주(御酒)를 주라 하였다. 궁녀가 다투어 각각 술을 드리니 상서가 받는 듯, 주는 듯 삼십여 잔을 마신 후에 몹시 취하여 정신을 차리지 못하였다."
http://www.davincimap.co.kr/davBase/Source/davSource.jsp?Job=Body&SourID=SOUR001304,구운몽(九雲夢),김만중,739,2.0,황제가 말하였다.
http://www.davincimap.co.kr/davBase/Source/davSource.jsp?Job=Body&SourID=SOUR001304,구운몽(九雲夢),김만중,740,2.0,"「이 글 한 구절의 값을 논하면 천금과 같다. 옛글에 ‘모과(木果)를 던지거든 구슬로 보답하라.’ 하였으니, 너희는 무엇으로 문장을 써 준 대가를 치르겠느냐?」"
http://www.davincimap.co.kr/davBase/Source/davSource.jsp?Job=Body&SourID=SOUR001304,구운몽(九雲夢),김만중,741,2.0,"모든 궁녀가 봉황을 새긴 금비녀도 빼고, 흰 옥과 금으로 된 노리개도 끄르며, 옥가락지도 벗어 서로 다투어 상서께 던지니 잠깐만에 산같이 쌓였다."
http://www.davincimap.co.kr/davBase/Source/davSource.jsp?Job=Body&SourID=SOUR001304,구운몽(九雲夢),김만중,742,2.0,황제가 웃으며 말하였다.
http://www.davincimap.co.kr/davBase/Source/davSource.jsp?Job=Body&SourID=SOUR001304,구운몽(九雲夢),김만중,743,2.0,「짐은 무엇으로 상을 내리면 좋겠는가?」
http://www.davincimap.co.kr/davBase/Source/davSource.jsp?Job=Body&SourID=SOUR001304,구운몽(九雲夢),김만중,744,2.0,"하고, 환자를 시켜 쓰던 필먹과 벼루와 연적과 궁녀들이 드린 보화를 거두어 상서의 집에 드리라 하자, 상서가 머리를 조아려 은혜에 깊이 감사하고 일어나 화원에 가니, 춘운이 내달아 옷을 벗기고 물어 말하였다."
